year,country1,country2,n_speeches,freq1,freq2,score
2005,IDN,TLS,16,37,174,59.72717599737723
2017,SOM,YEM,17,49,82,59.45494797600061
2004,GIN,SLE,19,55,72,58.66825396825396
2003,IDN,TLS,18,39,143,58.55844155844157
2014,GIN,SLE,19,62,60,58.35375180375179
2004,GIN,LBR,21,61,71,58.152380952380945
2003,CAF,COG,16,83,78,57.372727272727275
2003,AFG,IRQ,13,43,203,56.8469755390808
2009,SDN,TCD,18,80,71,56.81904761904762
2002,COG,SLE,20,66,62,56.64999999999999
2007,SOM,UGA,13,73,50,56.02083863848569
2014,COG,MLI,18,51,70,56.011322011322
2019,ISR,YEM,21,71,59,55.84704184704184
1999,IRQ,KWT,9,167,34,55.64247833793664
1999,COG,SLE,18,67,57,55.538492063492065
2014,FRA,USA,27,55,56,55.42857142857143
2017,SSD,YEM,17,45,76,54.709040959040955
2017,ISR,LBN,18,59,59,54.22503607503608
2001,IDN,TLS,22,57,58,54.0642857142857
2006,IDN,TLS,14,33,154,53.473053289421586
2008,COG,RWA,15,93,40,53.20453272217978
2013,CAF,COG,14,85,41,53.06507936507936
2017,SOM,SSD,18,54,54,52.529797979797976
2015,IRQ,YEM,22,56,54,52.52380952380952
2003,IRQ,ISR,12,134,34,52.36492408557626
2019,PSE,USA,16,58,57,52.33748473748473
2018,SWE,YEM,13,41,84,52.252387086597615
2018,IRN,IRQ,12,169,42,52.08251748251748
2015,LBY,YEM,19,61,49,51.70411255411255
2001,BDI,RWA,18,56,58,51.288888888888884
2011,FRA,USA,24,50,53,51.17857142857143
2000,COG,UGA,7,79,40,50.75756347671242
2006,COG,TZA,17,101,38,50.454206349206345
2014,LBR,SLE,17,51,52,50.34725274725274
2000,BDI,COG,15,43,100,50.33939393939394
2015,LBN,PSE,14,50,63,50.225174825174825
2016,BDI,COG,13,49,72,50.17344322344322
2004,COG,RWA,9,79,40,50.16392102049997
2014,GIN,LBR,17,52,51,49.785714285714285
2016,IRQ,YEM,19,54,62,49.73968253968254
2016,IRQ,USA,16,44,82,49.46327561327561
2014,UKR,USA,11,116,34,49.42378213573866
2009,AFG,PAK,11,133,33,48.995883751611316
2001,COG,NAM,12,135,33,48.84083738758662
2009,EGY,ISR,16,36,106,48.437501387501385
2000,ISR,PSE,16,46,63,48.37667887667888
2018,PSE,USA,17,49,59,48.37539682539681
2017,COG,NGA,12,58,43,48.24816849816849
2001,CAF,COG,12,123,44,48.222480787186676
2001,AGO,COG,10,48,146,48.0891156462585
2001,RWA,UGA,16,53,46,47.9015873015873
2019,BDI,COG,15,36,79,47.73730158730159
1999,IDN,PRT,17,72,43,47.6808608058608
2006,SDN,UGA,17,50,48,47.56825396825396
2004,IDN,TLS,13,31,133,47.545654672125266
2013,PSE,USA,18,74,38,47.53275613275612
2018,IRN,ISR,14,112,41,46.96789321789322
2014,NLD,UKR,15,36,83,46.73347763347763
2019,IRN,IRQ,12,89,62,46.645854145854145
2016,PSE,YEM,16,59,52,46.352380952380955
2015,ISR,YEM,15,58,45,45.58066378066378
1996,GEO,RUS,15,80,33,45.54314574314573
2015,AFG,PAK,12,186,26,45.34133485305918
1996,ISR,PSE,13,68,38,45.166702741702736
2016,UKR,USA,17,56,51,44.92857142857143
2015,IRQ,LBN,14,47,47,44.76703296703296
2009,ERI,SOM,12,49,66,44.56992615227909
1999,AGO,COG,15,44,91,44.56678803455414
2010,ISR,USA,14,96,31,44.43145743145744
2002,GIN,SLE,12,37,71,44.404417804417804
1995,ISR,PSE,13,82,42,44.03761666609964
2017,BDI,COG,10,35,80,43.90299787931367
2004,MNE,SRB,18,44,45,43.44523809523809
2018,EGY,ISR,16,34,68,43.138461538461534
2001,MKD,SRB,13,63,37,43.01796536796537
2008,ISR,USA,11,134,27,42.9962679832245
1999,COG,RWA,9,80,34,42.76326109391125
2017,IRQ,ISR,16,42,50,42.390476190476186
2014,CAF,SSD,17,48,42,42.3111111111111
2007,CAF,TCD,13,42,43,42.13968253968254
2013,FRA,USA,21,42,42,42.0
2017,FRA,USA,17,38,50,41.93333333333334
2010,KEN,SOM,13,27,123,41.71434121434122
2011,LBN,PSE,16,40,52,41.68015873015873
2018,CAF,COG,13,62,43,41.45404595404596
2012,FRA,USA,20,41,42,41.4
2001,COG,SLE,14,39,55,41.25514485514485
1996,EGY,ETH,8,35,57,41.230952380952374
2016,ISR,LBN,10,90,32,41.08267240006371
2006,COG,RWA,11,76,39,40.960470085470085
2002,AGO,COG,16,32,108,40.950320245057085
2018,IRN,SAU,12,58,35,40.714285714285715
2013,FRA,MLI,11,31,86,40.54769674769674
2001,AGO,SLE,11,45,52,40.17771117771119
2004,CIV,LBR,14,39,48,40.12460317460317
2014,IRQ,PSE,14,37,48,40.05714285714286
2015,RUS,UKR,12,28,103,40.0468720821662
2019,ETH,SDN,14,33,66,39.59523809523809
2001,BDI,UGA,14,53,38,39.56825396825396
2006,LBN,USA,13,67,38,39.401498501498494
2015,PSE,YEM,14,42,43,39.32857142857142
2000,RWA,UGA,7,40,40,39.21168831168831
2002,COG,ZAF,13,132,28,39.138680033416875
2004,ISR,PSE,15,46,40,39.016666666666666
2003,LBR,SLE,12,47,39,38.89090909090909
2012,DEU,FRA,19,38,40,38.66666666666667
2008,AFG,PAK,11,121,24,38.6254254001932
2018,IRQ,YEM,15,51,42,38.17894736842105
2016,COG,RWA,9,72,30,37.775
2019,CAF,COG,13,40,42,37.628571428571426
2017,IRN,ISR,9,59,37,37.57243867243867
1995,HRV,MKD,10,70,28,37.52354312354313
2019,BFA,MLI,13,33,50,37.38095238095238
2019,AFG,USA,9,112,36,37.07869281045752
2018,IRQ,KWT,9,72,28,37.0294966471437
2019,IRN,SAU,11,67,35,37.02623716153128
2019,IRQ,USA,12,43,70,37.02306255835668
2007,SDN,TCD,11,48,38,36.94047619047618
2014,FRA,LUX,18,36,38,36.8
2019,PSE,YEM,14,48,34,36.73015873015873
2013,COG,MLI,14,37,39,36.65714285714285
2015,ISR,USA,12,65,29,36.535225885225884
2007,CAF,SDN,11,40,41,36.191269841269836
2017,GEO,UKR,13,31,51,36.15873015873015
2015,FRA,USA,18,36,36,36.0
2008,COD,COG,10,31,70,35.89408683104335
2019,CAF,CMR,10,42,37,35.87835497835498
2017,IRN,USA,12,44,37,35.700432900432894
2018,TUR,USA,11,34,53,35.68333333333332
2012,CAF,COG,12,37,36,35.66608391608391
2019,ISR,LBN,11,66,29,35.58571428571428
2004,CIV,SLE,12,35,42,35.583333333333336
2002,IDN,TLS,11,24,91,35.56129426129426
2016,AFG,PAK,10,123,21,35.5033744033744
2015,IRQ,ISR,12,35,42,35.477655677655676
2002,BIH,USA,11,32,50,35.301587301587304
2002,ISR,LBN,6,53,28,35.1021645021645
2018,ETH,SOM,11,24,95,35.04017094017094
2006,BDI,TZA,15,40,33,35.019047619047626
2011,DEU,FRA,17,35,35,35.0
2016,ISR,LBY,12,42,32,34.98369963369963
2018,IRQ,LBY,13,39,34,34.952380952380956
2002,GIN,LBR,10,29,49,34.93037518037518
2017,IRQ,LBY,13,38,42,34.67206127206127
2015,ISR,JOR,12,73,26,34.64561403508772
2015,COG,RWA,5,81,23,34.341163365931166
1996,BDI,RWA,9,60,51,34.321699134199136
2018,PSE,YEM,14,35,36,34.31428571428571
2002,COG,UGA,9,104,21,34.227349121466766
2014,IRQ,USA,13,66,27,34.196825396825396
2018,DJI,ERI,11,26,53,34.13095238095238
2008,FRA,USA,15,33,37,34.1015873015873
2006,LBR,SLE,12,31,38,33.752380952380946
2016,IRQ,TUR,12,37,38,33.721428571428575
2005,MNE,SRB,12,34,34,33.52380952380952
2005,BDI,COG,6,35,34,33.498039215686276
2016,LBY,YEM,14,34,33,33.22857142857143
2017,UKR,USA,14,38,33,33.17777777777778
1995,HRV,SRB,11,59,28,33.05079365079365
2016,LBY,USA,9,29,58,32.99170829170829
2000,AGO,SLE,12,41,49,32.86031746031746
2003,MNE,SRB,15,33,33,32.82857142857142
2014,PSE,USA,11,48,27,32.579365079365076
2014,LUX,USA,16,33,32,32.4
2019,AFG,IRQ,10,65,30,32.387028176501865
2014,KOR,USA,14,30,40,32.22222222222222
2019,LBY,YEM,13,32,34,32.128571428571426
2001,BIH,HRV,8,86,21,32.03687423687424
1999,AGO,SLE,13,32,35,31.883333333333333
2011,DEU,USA,15,31,33,31.75
2002,PSE,USA,10,44,28,31.706442577030813
2012,COG,RWA,3,37,29,31.52861111111111
2018,FRA,IRQ,9,32,33,31.525757575757577
2018,LBN,YEM,13,35,31,31.44761904761905
2019,COL,USA,5,25,59,31.44006169269327
2017,FRA,UKR,14,30,34,31.4
2015,IRQ,PSE,12,32,32,31.266666666666662
2017,IRN,YEM,6,68,26,31.16253968253968
