LHS	RHS	Rel_Support	Support	Confidence	Lift	year
{'BIH'}	{'HRV'}	0.2682926829268293	44	0.6111111111111112	1.9273504273504274	1995
{'MNE'}	{'SRB'}	0.21951219512195122	36	0.9729729729729729	3.7992277992277987	1995
{'BIH'}	{'SRB'}	0.1524390243902439	25	0.3472222222222222	1.3558201058201058	1995
{'BIH'}	{'MNE'}	0.14634146341463414	24	0.3333333333333333	1.4774774774774773	1995
{'BIH'}	{'MNE', 'SRB'}	0.1402439024390244	23	0.3194444444444445	1.455246913580247	1995
{'ISR'}	{'PSE'}	0.07926829268292683	13	0.6842105263157895	8.015037593984962	1995
{'MKD'}	{'HRV'}	0.06097560975609756	10	0.9090909090909091	2.867132867132867	1995
{'MKD'}	{'BIH'}	0.054878048780487805	9	0.8181818181818181	1.8636363636363635	1995
{'EGY'}	{'MYS'}	0.054878048780487805	9	0.8181818181818181	14.909090909090908	1995
{'EGY'}	{'TUR'}	0.054878048780487805	9	0.8181818181818181	12.198347107438014	1995
{'MKD'}	{'HRV', 'BIH'}	0.054878048780487805	9	0.8181818181818181	3.0495867768595035	1995
{'ISR'}	{'LBN'}	0.245	49	0.8032786885245902	3.031240334055057	1996
{'ETH'}	{'SDN'}	0.09	18	0.72	5.76	1996
{'GEO'}	{'RUS'}	0.075	15	0.8823529411764705	9.287925696594426	1996
{'PSE'}	{'ISR'}	0.065	13	1.0	3.278688524590164	1996
{'DEU'}	{'ITA'}	0.10101010101010101	10	0.6666666666666666	3.473684210526316	1997
{'ALB'}	{'ITA'}	0.08080808080808081	8	0.5714285714285715	2.977443609022557	1997
{'ARG'}	{'BRA'}	0.0707070707070707	7	0.7	8.662499999999998	1997
{'ARG'}	{'CAN'}	0.0707070707070707	7	0.7	8.662499999999998	1997
{'ISR'}	{'PSE'}	0.06060606060606061	6	1.0	16.5	1997
{'ARG'}	{'NLD'}	0.06060606060606061	6	0.6	5.9399999999999995	1997
{'ALB'}	{'MKD'}	0.06060606060606061	6	0.4285714285714286	4.714285714285714	1997
{'DEU'}	{'MKD'}	0.06060606060606061	6	0.4	4.4	1997
{'DEU'}	{'TUR'}	0.06060606060606061	6	0.4	4.95	1997
{'BRA'}	{'NLD'}	0.050505050505050504	5	0.6249999999999999	6.187499999999999	1997
{'CAN'}	{'NOR'}	0.050505050505050504	5	0.6249999999999999	12.374999999999998	1997
{'NLD'}	{'ITA'}	0.050505050505050504	5	0.5	2.605263157894737	1997
{'ARG'}	{'NLD', 'BRA'}	0.050505050505050504	5	0.5	9.9	1997
{'AGO'}	{'COG'}	0.050505050505050504	5	0.3846153846153846	6.346153846153846	1997
{'BIH'}	{'USA'}	0.050505050505050504	5	0.3333333333333333	4.714285714285714	1997
{'IND'}	{'PAK'}	0.174496644295302	26	0.962962962962963	4.483796296296297	1998
{'LBY'}	{'USA'}	0.1476510067114094	22	0.7857142857142857	2.5450310559006213	1998
{'DEU'}	{'ITA'}	0.06711409395973154	10	0.7142857142857143	10.642857142857142	1998
{'COG'}	{'SLE'}	0.10909090909090909	18	0.36734693877551017	1.5153061224489794	1999
{'IDN'}	{'PRT'}	0.10303030303030303	17	0.6071428571428571	5.565476190476191	1999
{'AGO'}	{'COG'}	0.09090909090909091	15	0.625	2.1045918367346936	1999
{'AGO'}	{'SLE'}	0.07878787878787878	13	0.5416666666666666	2.234375	1999
{'EGY'}	{'JPN'}	0.05454545454545454	9	0.8181818181818181	10.384615384615385	1999
{'FIN'}	{'JPN'}	0.05454545454545454	9	0.75	9.51923076923077	1999
{'FIN'}	{'NOR'}	0.05454545454545454	9	0.75	11.25	1999
{'JPN'}	{'NOR'}	0.05454545454545454	9	0.6923076923076923	10.384615384615385	1999
{'RWA'}	{'COG'}	0.05454545454545454	9	0.5625	1.8941326530612244	1999
{'IRQ'}	{'KWT'}	0.05454545454545454	9	0.44999999999999996	7.424999999999999	1999
{'IDN'}	{'NZL'}	0.05454545454545454	9	0.3214285714285714	4.821428571428571	1999
{'IDN'}	{'TLS'}	0.14285714285714285	45	0.8035714285714285	5.165816326530612	2000
{'ERI'}	{'ETH'}	0.11428571428571428	36	0.9473684210526315	7.278562259306803	2000
{'COG'}	{'SLE'}	0.10793650793650794	34	0.45333333333333337	2.5963636363636367	2000
{'AGO'}	{'COG'}	0.06666666666666667	21	0.5675675675675675	2.383783783783784	2000
{'DJI'}	{'SOM'}	0.06349206349206349	20	0.8695652173913042	9.445277361319338	2000
{'ISR'}	{'PSE'}	0.050793650793650794	16	0.7619047619047619	13.333333333333332	2000
{'LBR'}	{'SLE'}	0.13333333333333333	52	0.9629629629629629	3.871706758304696	2001
{'COG'}	{'RWA'}	0.11025641025641025	43	0.3771929824561403	3.002148227712137	2001
{'GIN'}	{'SLE'}	0.09230769230769231	36	1.0	4.020618556701031	2001
{'BDI'}	{'COG'}	0.08974358974358974	35	0.7954545454545454	2.7212918660287078	2001
{'ISR'}	{'PSE'}	0.06923076923076923	27	0.675	8.491935483870968	2001
{'UGA'}	{'COG'}	0.0641025641025641	25	1.0	3.4210526315789473	2001
{'GIN'}	{'LBR'}	0.05897435897435897	23	0.6388888888888888	4.614197530864197	2001
{'GIN'}	{'LBR', 'SLE'}	0.05897435897435897	23	0.6388888888888888	4.791666666666666	2001
{'IDN'}	{'TLS'}	0.05641025641025641	22	0.6666666666666666	11.304347826086957	2001
{'ISR'}	{'PSE'}	0.21014492753623187	87	0.6041666666666666	2.660904255319149	2002
{'USA'}	{'ISR'}	0.08454106280193237	35	0.5384615384615384	1.5480769230769231	2002
{'IRQ'}	{'KWT'}	0.07729468599033816	32	0.6153846153846153	7.72027972027972	2002
{'ERI'}	{'ETH'}	0.06521739130434782	27	0.9310344827586206	11.012807881773398	2002
{'LBR'}	{'SLE'}	0.06521739130434782	27	0.9310344827586206	6.022629310344827	2002
{'IRQ'}	{'USA'}	0.09904153354632587	31	0.3780487804878048	2.366585365853658	2003
{'BDI'}	{'COG'}	0.07348242811501597	23	0.71875	4.166087962962963	2003
{'ISR'}	{'PSE'}	0.0670926517571885	21	0.3818181818181818	4.596503496503496	2003
{'IDN'}	{'TLS'}	0.05750798722044728	18	0.6206896551724138	7.771034482758621	2003
{'KWT'}	{'IRQ'}	0.054313099041533544	17	0.9444444444444444	3.605013550135501	2003
{'CAF'}	{'COG'}	0.051118210862619806	16	0.7272727272727273	4.215488215488215	2003
{'BDI'}	{'COG'}	0.17061611374407584	36	0.972972972972973	4.774355751099938	2004
{'LBR'}	{'SLE'}	0.15639810426540285	33	0.6875	3.7195512820512824	2004
{'GIN'}	{'LBR'}	0.0995260663507109	21	0.84	3.6925	2004
{'CAF'}	{'COG'}	0.09004739336492891	19	1.0	4.906976744186046	2004
{'GIN'}	{'SLE'}	0.09004739336492891	19	0.76	4.111794871794872	2004
{'MNE'}	{'SRB'}	0.08530805687203792	18	1.0	11.722222222222221	2004
{'BDI'}	{'CAF'}	0.08530805687203792	18	0.4864864864864865	5.4025604551920345	2004
{'BDI'}	{'COG', 'CAF'}	0.08530805687203792	18	0.4864864864864865	5.4025604551920345	2004
{'GIN'}	{'LBR', 'SLE'}	0.08056872037914692	17	0.6799999999999999	4.347878787878788	2004
{'ISR'}	{'PSE'}	0.07109004739336493	15	0.6818181818181819	8.991477272727273	2004
{'CIV'}	{'LBR'}	0.06635071090047394	14	1.0	4.395833333333334	2004
{'IDN'}	{'TLS'}	0.061611374407582936	13	0.8666666666666667	9.143333333333334	2004
{'CIV'}	{'SLE'}	0.05687203791469194	12	0.857142857142857	4.637362637362637	2004
{'CIV'}	{'LBR', 'SLE'}	0.05687203791469194	12	0.857142857142857	5.4805194805194795	2004
{'IDN'}	{'TLS'}	0.1111111111111111	16	0.9411764705882353	7.529411764705882	2005
{'MNE'}	{'SRB'}	0.08333333333333333	12	1.0	12.0	2005
{'CIV'}	{'ZAF'}	0.06944444444444445	10	0.9090909090909091	10.90909090909091	2005
{'FRA'}	{'USA'}	0.06944444444444445	10	0.9090909090909091	5.950413223140496	2005
{'ISR'}	{'PSE'}	0.17298578199052134	73	0.38829787234042556	2.156075027995521	2006
{'PSE'}	{'LBN'}	0.08056872037914692	34	0.4473684210526316	1.1726054266100032	2006
{'BDI'}	{'COG'}	0.07819905213270142	33	0.942857142857143	5.235338345864662	2006
{'PSE'}	{'ISR', 'LBN'}	0.07582938388625593	32	0.4210526315789474	1.2691729323308272	2006
{'COG'}	{'UGA'}	0.05924170616113744	25	0.32894736842105265	3.966165413533835	2006
{'ISR'}	{'LBN'}	0.18725099601593626	47	0.746031746031746	3.3438208616780045	2007
{'ISR'}	{'PSE'}	0.12749003984063745	32	0.5079365079365079	3.749766573295985	2007
{'BDI'}	{'SLE'}	0.09163346613545817	23	0.6764705882352942	5.477229601518027	2007
{'LBN'}	{'PSE'}	0.08366533864541832	21	0.375	2.7683823529411766	2007
{'SDN'}	{'SOM'}	0.0796812749003984	20	0.4878048780487805	2.9152148664343787	2007
{'ISR'}	{'LBN', 'PSE'}	0.0796812749003984	20	0.31746031746031744	3.7944066515495085	2007
{'CAF'}	{'TCD'}	0.05179282868525897	13	0.7647058823529412	11.290657439446369	2007
{'SOM'}	{'UGA'}	0.05179282868525897	13	0.30952380952380953	4.855654761904762	2007
{'ISR'}	{'LBN'}	0.16710875331564987	63	0.5625	3.073369565217391	2008
