year,mentioned_country,n_meetings,n_speeches,n_mentions,n_speaker_countries,avg_speech_country,avg_speech_meeting,avg_mention_country,avg_mention_meeting,avg_mention_speech,mentioned_member
1995,IRQ,8,24,165,18,1.3333333333333333,3.0,9.166666666666666,20.625,6.875,G
1995,ISL,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,ISR,12,87,454,40,2.175,7.25,11.35,37.833333333333336,5.218390804597701,G
1995,ITA,66,114,128,19,6.0,1.7272727272727273,6.7368421052631575,1.9393939393939394,1.1228070175438596,R
1995,JAM,2,3,3,3,1.0,1.5,1.0,1.5,1.0,G
1995,JOR,5,15,18,10,1.5,3.0,1.8,3.6,1.2,G
1995,JPN,13,42,56,25,1.68,3.230769230769231,2.24,4.3076923076923075,1.3333333333333333,G
1995,KAZ,3,3,3,3,1.0,1.0,1.0,1.0,1.0,G
1995,KEN,2,2,3,2,1.0,1.0,1.5,1.5,1.5,G
1995,KHM,8,20,23,14,1.4285714285714286,2.5,1.6428571428571428,2.875,1.15,G
1995,KNA,2,3,3,3,1.0,1.5,1.0,1.5,1.0,G
1995,KOR,2,7,7,3,2.3333333333333335,3.5,2.3333333333333335,3.5,1.0,G
1995,KWT,4,10,17,6,1.6666666666666667,2.5,2.8333333333333335,4.25,1.7,G
1995,LBN,9,18,30,13,1.3846153846153846,2.0,2.3076923076923075,3.3333333333333335,1.6666666666666667,G
1995,LBR,11,88,446,18,4.888888888888889,8.0,24.77777777777778,40.54545454545455,5.068181818181818,G
1995,LBY,1,2,3,2,1.0,2.0,1.5,3.0,1.5,G
1995,LKA,2,3,4,2,1.5,1.5,2.0,2.0,1.3333333333333333,G
1995,LSO,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1995,LTU,3,3,3,2,1.5,1.0,1.5,1.0,1.0,G
1995,LUX,1,4,5,2,2.0,4.0,2.5,5.0,1.25,G
1995,LVA,4,5,6,2,2.5,1.25,3.0,1.5,1.2,G
