year,speaker_country,mentioned_country,n_meetings,n_speeches,n_mentions,avg_mention_speech,avg_mention_meeting,speaker_member,mentioned_member
1995,CZE,BGD,1,1,1,1.0,1.0,R,G
1995,CZE,BIH,15,19,51,2.684,3.4,R,G
1995,CZE,BRA,1,3,4,1.333,4.0,R,G
1995,CZE,BWA,8,9,9,1.0,1.125,R,R
1995,CZE,CAN,1,1,1,1.0,1.0,R,G
1995,CZE,CHE,1,1,1,1.0,1.0,R,G
1995,CZE,CHN,10,12,13,1.083,1.3,R,P
1995,CZE,COL,1,2,2,1.0,2.0,R,G
1995,CZE,CZE,38,42,66,1.571,1.737,R,R
1995,CZE,DEU,9,12,12,1.0,1.333,R,R
1995,CZE,DNK,1,1,1,1.0,1.0,R,G
1995,CZE,DZA,1,3,4,1.333,4.0,R,G
1995,CZE,EGY,1,3,4,1.333,4.0,R,G
1995,CZE,ESH,1,1,2,2.0,2.0,R,G
1995,CZE,ESP,1,3,4,1.333,4.0,R,G
1995,CZE,FRA,11,15,16,1.067,1.455,R,P
1995,CZE,GBR,1,1,1,1.0,1.0,R,P
1995,CZE,GEO,2,2,10,5.0,5.0,R,G
1995,CZE,GHA,1,1,1,1.0,1.0,R,G
1995,CZE,HND,8,10,10,1.0,1.25,R,R
1995,CZE,HRV,11,11,34,3.091,3.091,R,G
1995,CZE,HTI,3,3,16,5.333,5.333,R,G
1995,CZE,HUN,1,3,4,1.333,4.0,R,G
1995,CZE,IDN,8,8,8,1.0,1.0,R,R
1995,CZE,IND,2,4,5,1.25,2.5,R,G
1995,CZE,IRL,1,1,1,1.0,1.0,R,G
1995,CZE,IRN,1,3,3,1.0,3.0,R,G
1995,CZE,IRQ,1,1,9,9.0,9.0,R,G
1995,CZE,ISR,1,1,1,1.0,1.0,R,G
1995,CZE,ITA,9,12,12,1.0,1.333,R,R
1995,CZE,JAM,1,1,1,1.0,1.0,R,G
1995,CZE,JOR,1,1,1,1.0,1.0,R,G
1995,CZE,JPN,1,2,4,2.0,4.0,R,G
1995,CZE,KAZ,1,1,1,1.0,1.0,R,G
1995,CZE,KHM,1,1,1,1.0,1.0,R,G
1995,CZE,KNA,1,1,1,1.0,1.0,R,G
1995,CZE,LBN,1,1,2,2.0,2.0,R,G
1995,CZE,LBR,4,6,23,3.833,5.75,R,G
1995,CZE,MDG,1,1,1,1.0,1.0,R,G
1995,CZE,MEX,1,1,3,3.0,3.0,R,G
1995,CZE,MKD,1,1,1,1.0,1.0,R,G
1995,CZE,MNE,3,3,4,1.333,1.333,R,G
1995,CZE,MOZ,4,4,11,2.75,2.75,R,G
1995,CZE,MYS,1,3,4,1.333,4.0,R,G
1995,CZE,NAM,1,1,1,1.0,1.0,R,G
1995,CZE,NGA,8,10,10,1.0,1.25,R,R
1995,CZE,NLD,1,1,1,1.0,1.0,R,G
1995,CZE,NOR,1,1,1,1.0,1.0,R,G
1995,CZE,NZL,1,1,1,1.0,1.0,R,G
1995,CZE,OMN,9,11,12,1.091,1.333,R,R
1995,CZE,PAK,2,4,5,1.25,2.5,R,G
1995,CZE,PRT,1,1,1,1.0,1.0,R,G
1995,CZE,ROU,1,3,4,1.333,4.0,R,G
1995,CZE,RUS,12,14,18,1.286,1.5,R,P
1995,CZE,RWA,14,16,55,3.438,3.929,R,R
1995,CZE,SLV,2,4,6,1.5,3.0,R,G
1995,CZE,SOM,2,2,18,9.0,9.0,R,G
1995,CZE,SRB,4,4,5,1.25,1.25,R,G
1995,CZE,SVK,1,1,1,1.0,1.0,R,G
1995,CZE,SWE,2,2,2,1.0,1.0,R,G
1995,CZE,TZA,2,2,2,1.0,1.0,R,G
1995,CZE,UKR,1,2,4,2.0,4.0,R,G
1995,CZE,USA,17,22,22,1.0,1.294,R,P
1995,CZE,ZAF,1,1,1,1.0,1.0,R,G
1995,CZE,ZMB,1,1,1,1.0,1.0,R,G
1995,DEU,AFG,1,1,1,1.0,1.0,R,G
1995,DEU,AGO,3,3,17,5.667,5.667,R,G
1995,DEU,ARG,7,9,12,1.333,1.714,R,R
1995,DEU,BDI,1,1,7,7.0,7.0,R,G
1995,DEU,BGD,1,1,1,1.0,1.0,R,G
1995,DEU,BIH,11,13,34,2.615,3.091,R,G
1995,DEU,BWA,6,8,9,1.125,1.5,R,R
1995,DEU,CHN,5,5,6,1.2,1.2,R,P
1995,DEU,CZE,7,10,11,1.1,1.571,R,R
1995,DEU,DEU,45,50,96,1.92,2.133,R,R
1995,DEU,EGY,1,3,4,1.333,4.0,R,G
1995,DEU,ESH,1,1,1,1.0,1.0,R,G
1995,DEU,ESP,2,2,5,2.5,2.5,R,G
1995,DEU,ETH,1,1,1,1.0,1.0,R,G
1995,DEU,FRA,9,13,14,1.077,1.556,R,P
1995,DEU,GEO,2,2,4,2.0,2.0,R,G
1995,DEU,GHA,2,2,2,1.0,1.0,R,G
1995,DEU,HND,7,9,11,1.222,1.571,R,R
1995,DEU,HRV,11,13,53,4.077,4.818,R,G
1995,DEU,HTI,2,2,13,6.5,6.5,R,G
1995,DEU,IDN,6,7,7,1.0,1.167,R,R
1995,DEU,IRQ,1,1,6,6.0,6.0,R,G
1995,DEU,ISR,2,2,2,1.0,1.0,R,G
1995,DEU,ITA,9,11,16,1.455,1.778,R,R
1995,DEU,KAZ,1,1,1,1.0,1.0,R,G
1995,DEU,KHM,1,1,2,2.0,2.0,R,G
1995,DEU,LBR,5,7,32,4.571,6.4,R,G
1995,DEU,MAR,2,2,2,1.0,1.0,R,G
1995,DEU,MKD,1,1,3,3.0,3.0,R,G
1995,DEU,MNE,9,9,12,1.333,1.333,R,G
1995,DEU,MOZ,3,3,6,2.0,2.0,R,G
1995,DEU,MYS,1,3,4,1.333,4.0,R,G
1995,DEU,NAM,1,1,1,1.0,1.0,R,G
1995,DEU,NGA,8,9,10,1.111,1.25,R,R
1995,DEU,NLD,2,3,6,2.0,3.0,R,G
1995,DEU,NZL,1,1,1,1.0,1.0,R,G
1995,DEU,OMN,9,12,13,1.083,1.444,R,R
1995,DEU,PAK,1,1,1,1.0,1.0,R,G
1995,DEU,RUS,10,12,14,1.167,1.4,R,P
1995,DEU,RWA,10,12,34,2.833,3.4,R,R
1995,DEU,SLV,2,2,6,3.0,3.0,R,G
1995,DEU,SOM,1,1,1,1.0,1.0,R,G
1995,DEU,SRB,9,9,12,1.333,1.333,R,G
1995,DEU,TJK,2,2,3,1.5,1.5,R,G
1995,DEU,TUR,2,4,6,1.5,3.0,R,G
1995,DEU,USA,10,12,13,1.083,1.3,R,P
1995,DEU,ZAF,1,1,1,1.0,1.0,R,G
1995,DJI,DJI,2,2,3,1.5,1.5,G,G
1995,DJI,ISR,2,2,25,12.5,12.5,G,G
1995,DJI,PSE,2,2,7,3.5,3.5,G,G
1995,DZA,AGO,1,1,6,6.0,6.0,G,G
1995,DZA,ARG,2,2,2,1.0,1.0,G,R
1995,DZA,BWA,1,1,1,1.0,1.0,G,R
1995,DZA,CHN,1,1,1,1.0,1.0,G,P
1995,DZA,CZE,1,1,1,1.0,1.0,G,R
1995,DZA,DJI,1,1,1,1.0,1.0,G,G
1995,DZA,DZA,5,5,11,2.2,2.2,G,G
1995,DZA,IDN,1,1,1,1.0,1.0,G,R
1995,DZA,ISR,2,2,7,3.5,3.5,G,G
1995,DZA,MOZ,1,1,1,1.0,1.0,G,G
1995,DZA,NAM,1,1,1,1.0,1.0,G,G
1995,DZA,NZL,1,1,1,1.0,1.0,G,G
1995,DZA,PSE,1,1,1,1.0,1.0,G,G
1995,DZA,ZAF,1,1,1,1.0,1.0,G,G
1995,EGY,ARG,2,2,5,2.5,2.5,G,R
1995,EGY,BIH,5,5,41,8.2,8.2,G,G
1995,EGY,CHN,1,1,1,1.0,1.0,G,P
1995,EGY,CZE,1,1,1,1.0,1.0,G,R
1995,EGY,EGY,11,11,57,5.182,5.182,G,G
1995,EGY,FRA,2,2,2,1.0,1.0,G,P
1995,EGY,HRV,1,1,1,1.0,1.0,G,G
1995,EGY,IDN,3,3,3,1.0,1.0,G,R
1995,EGY,ISR,2,2,29,14.5,14.5,G,G
1995,EGY,ITA,1,1,1,1.0,1.0,G,R
1995,EGY,JOR,1,1,1,1.0,1.0,G,G
1995,EGY,JPN,1,1,1,1.0,1.0,G,G
1995,EGY,MNE,1,1,2,2.0,2.0,G,G
1995,EGY,MOZ,1,1,6,6.0,6.0,G,G
1995,EGY,NZL,2,2,2,1.0,1.0,G,G
1995,EGY,OMN,2,2,2,1.0,1.0,G,R
1995,EGY,PSE,1,1,1,1.0,1.0,G,G
1995,EGY,RWA,1,1,1,1.0,1.0,G,R
1995,EGY,SRB,1,1,2,2.0,2.0,G,G
1995,EGY,USA,4,4,4,1.0,1.0,G,P
1995,ESP,AGO,1,1,9,9.0,9.0,G,G
1995,ESP,ARG,1,1,1,1.0,1.0,G,R
1995,ESP,BGR,2,2,2,1.0,1.0,G,G
1995,ESP,BIH,2,2,5,2.5,2.5,G,G
1995,ESP,CZE,1,1,1,1.0,1.0,G,R
1995,ESP,ESP,5,5,11,2.2,2.2,G,G
1995,ESP,EST,2,2,2,1.0,1.0,G,G
1995,ESP,HRV,1,1,1,1.0,1.0,G,G
1995,ESP,HUN,2,2,2,1.0,1.0,G,G
1995,ESP,LTU,2,2,2,1.0,1.0,G,G
1995,ESP,LVA,2,2,2,1.0,1.0,G,G
1995,ESP,MLT,2,2,2,1.0,1.0,G,G
1995,ESP,NZL,1,1,1,1.0,1.0,G,G
1995,ESP,POL,2,2,2,1.0,1.0,G,G
1995,ESP,ROU,2,2,2,1.0,1.0,G,G
1995,ESP,SLV,1,1,13,13.0,13.0,G,G
1995,ESP,SVK,2,2,2,1.0,1.0,G,G
1995,FRA,AFG,1,1,1,1.0,1.0,P,G
1995,FRA,AGO,4,4,20,5.0,5.0,P,G
1995,FRA,ARE,2,3,13,4.333,6.5,P,G
1995,FRA,ARG,7,8,8,1.0,1.143,P,R
1995,FRA,AUS,2,3,4,1.333,2.0,P,G
1995,FRA,BDI,1,1,7,7.0,7.0,P,G
1995,FRA,BEL,1,1,1,1.0,1.0,P,G
1995,FRA,BGD,2,3,3,1.0,1.5,P,G
1995,FRA,BGR,1,1,1,1.0,1.0,P,G
1995,FRA,BIH,13,13,33,2.538,2.538,P,G
1995,FRA,BWA,6,8,8,1.0,1.333,P,R
1995,FRA,CAF,1,1,2,2.0,2.0,P,G
1995,FRA,CAN,2,3,4,1.333,2.0,P,G
1995,FRA,CHN,6,6,7,1.167,1.167,P,P
1995,FRA,CUB,2,3,4,1.333,2.0,P,G
1995,FRA,CZE,10,13,13,1.0,1.3,P,R
1995,FRA,DEU,7,8,9,1.125,1.286,P,R
1995,FRA,DJI,2,3,4,1.333,2.0,P,G
1995,FRA,DNK,1,1,1,1.0,1.0,P,G
1995,FRA,DZA,1,3,4,1.333,4.0,P,G
1995,FRA,EGY,1,1,2,2.0,2.0,P,G
1995,FRA,ESH,1,1,1,1.0,1.0,P,G
1995,FRA,FRA,48,54,127,2.352,2.646,P,P
1995,FRA,GEO,2,3,8,2.667,4.0,P,G
1995,FRA,HND,6,7,7,1.0,1.167,P,R
1995,FRA,HRV,8,9,30,3.333,3.75,P,G
1995,FRA,HTI,3,3,8,2.667,2.667,P,G
1995,FRA,HUN,1,1,1,1.0,1.0,P,G
1995,FRA,IDN,7,8,8,1.0,1.143,P,R
1995,FRA,IRN,2,3,3,1.0,1.5,P,G
1995,FRA,IRQ,3,4,12,3.0,4.0,P,G
1995,FRA,ISR,3,8,34,4.25,11.333,P,G
1995,FRA,ITA,7,7,8,1.143,1.143,P,R
1995,FRA,JOR,2,3,4,1.333,2.0,P,G
1995,FRA,JPN,2,3,4,1.333,2.0,P,G
1995,FRA,KHM,3,3,3,1.0,1.0,P,G
1995,FRA,KWT,2,3,4,1.333,2.0,P,G
1995,FRA,LBN,1,3,4,1.333,4.0,P,G
1995,FRA,LBR,5,6,27,4.5,5.4,P,G
1995,FRA,MAR,2,4,6,1.5,3.0,P,G
1995,FRA,MKD,2,2,2,1.0,1.0,P,G
1995,FRA,MNE,2,2,5,2.5,2.5,P,G
1995,FRA,MOZ,4,4,12,3.0,3.0,P,G
1995,FRA,MRT,1,3,3,1.0,3.0,P,G
1995,FRA,MYS,2,2,3,1.5,1.5,P,G
1995,FRA,NAM,3,3,3,1.0,1.0,P,G
1995,FRA,NGA,6,8,8,1.0,1.333,P,R
1995,FRA,NLD,1,1,2,2.0,2.0,P,G
1995,FRA,OMN,8,9,9,1.0,1.125,P,R
1995,FRA,PAK,2,3,4,1.333,2.0,P,G
1995,FRA,POL,1,1,1,1.0,1.0,P,G
1995,FRA,PSE,3,8,13,1.625,4.333,P,G
1995,FRA,QAT,2,3,4,1.333,2.0,P,G
1995,FRA,ROU,1,1,1,1.0,1.0,P,G
1995,FRA,RUS,9,9,11,1.222,1.222,P,P
1995,FRA,RWA,13,16,36,2.25,2.769,P,R
1995,FRA,SAU,2,3,4,1.333,2.0,P,G
1995,FRA,SDN,2,3,4,1.333,2.0,P,G
1995,FRA,SLV,2,2,5,2.5,2.5,P,G
1995,FRA,SRB,2,2,5,2.5,2.5,P,G
1995,FRA,SVK,1,1,1,1.0,1.0,P,G
1995,FRA,SYR,2,3,3,1.0,1.5,P,G
1995,FRA,TJK,1,1,1,1.0,1.0,P,G
1995,FRA,TUN,2,2,3,1.5,1.5,P,G
1995,FRA,TUR,2,3,4,1.333,2.0,P,G
1995,FRA,USA,10,13,14,1.077,1.4,P,P
1995,FRA,ZAF,2,2,3,1.5,1.5,P,G
1995,FRA,ZMB,1,1,1,1.0,1.0,P,G
1995,GBR,AGO,3,3,23,7.667,7.667,P,G
1995,GBR,ARG,2,2,2,1.0,1.0,P,R
