country1,country2,n_speeches,freq1,freq2,score
ISR,PSE,1347,7234,4851,5179.1644928610895
ISR,LBN,607,3445,2599,2520.9724597801514
ISR,USA,287,1746,918,1003.4157789215973
BDI,COG,232,840,1612,906.5527623572799
COG,RWA,184,1675,733,869.8491816870998
LBR,SLE,213,794,1053,772.3896873919875
SDN,SSD,188,893,1066,769.4492670704306
LBN,PSE,227,827,727,684.0917961123836
CAF,COG,195,888,708,638.938367265689
FRA,USA,272,594,759,619.3682635372289
IRQ,KWT,147,1692,422,601.7764194415126
IRQ,USA,168,1149,665,583.6959104000509
DJI,SOM,136,427,1136,540.643230719154
IDN,TLS,152,431,1031,503.95729212697296
ERI,SOM,116,582,604,497.31744053758104
COG,UGA,120,1153,369,491.777692351501
GIN,SLE,126,403,651,448.40628453351417
IRQ,ISR,142,585,496,443.82717287479846
ERI,ETH,110,453,420,410.6578948828948
BGD,MMR,81,354,541,405.7370612743126
IRN,LBN,92,641,461,399.2921892716608
AFG,PAK,103,1234,243,382.9158844306721
PSE,USA,115,422,330,336.7266834472715
GIN,LBR,107,342,377,331.4237468413936
ISR,YEM,119,386,346,330.83564213564193
IRN,YEM,85,757,316,321.2026945290411
COG,SLE,99,437,338,319.65482883129926
SDN,TCD,87,457,327,315.712833245186
EGY,ISR,114,246,547,305.3176730676729
IRQ,LBY,108,313,387,297.2253801753803
BIH,HRV,94,424,306,296.1587806414432
CAF,TCD,77,369,313,292.858131189939
MNE,SRB,105,277,291,279.165873015873
DJI,ERI,66,277,331,269.66622057665944
COD,COG,70,198,649,260.4272557925274
IRN,USA,80,446,245,258.3593961541667
AFG,USA,67,927,180,253.87943314848167
RUS,UKR,69,183,609,253.11065465658606
BDI,RWA,83,297,308,248.188659026159
BDI,CAF,81,272,342,244.00788378288374
AGO,COG,74,261,524,240.96501394135345
COG,SDN,74,323,254,234.2645876865952
IRQ,LBN,78,268,268,233.21603805551172
SAU,YEM,74,195,390,232.77589043223722
IND,PAK,67,223,237,227.2095904095904
LBY,USA,57,350,241,226.81688047934182
AFG,IRQ,70,362,364,226.02621945814164
PSE,YEM,83,277,228,224.73888888888894
IRQ,YEM,89,246,251,224.15181894129265
RUS,USA,100,208,244,217.6190476190477
DEU,FRA,101,231,210,216.8
IRN,ISR,64,293,246,211.0696081696082
RWA,UGA,59,237,196,204.93548340548347
BIH,SRB,60,329,201,204.11866156482523
CAF,MLI,75,224,203,203.11746031746037
LBN,USA,76,264,194,198.84341769341773
UKR,USA,65,326,186,196.62400413596066
IRQ,TUR,75,234,199,194.6276486671224
IRQ,PSE,71,214,236,194.1051082251083
AUS,NZL,85,192,190,190.62857142857143
DEU,USA,83,193,211,186.60048285048285
SDN,SOM,62,198,195,186.4251499962027
CAF,SDN,63,249,186,184.90090990880472
IRN,IRQ,50,372,289,180.42042314754391
DEU,ITA,79,190,175,180.12380952380954
KEN,SOM,49,134,481,179.99980183492625
ISR,JOR,62,341,138,176.93010176957546
LBY,YEM,66,238,173,174.71262626262632
BIH,USA,57,242,174,168.49267676767684
TUR,USA,63,154,229,164.96637806637813
BDI,UGA,58,243,176,158.2133796028533
BDI,SLE,63,149,180,157.71339771339774
AUS,JPN,74,151,155,152.0857142857143
JPN,NZL,73,154,149,150.6857142857143
ETH,SDN,44,125,264,148.55906158971175
AGO,SLE,56,160,184,148.52136197136198
COG,ZAF,48,419,117,148.16042311759696
FRA,ITA,70,143,151,145.66666666666669
ISR,TUR,60,182,134,145.0727272727273
BDI,TZA,50,302,114,143.17657025743983
BIH,MNE,46,209,139,142.63239538239543
COG,MLI,53,136,168,142.33513153513155
EGY,PSE,54,117,207,141.94603174603176
FRA,RUS,68,142,144,141.31428571428572
ITA,USA,66,144,141,139.93968253968254
ETH,SOM,44,108,306,139.60253265253272
LBN,YEM,51,162,142,139.11405261405267
CAN,JPN,68,138,141,138.65714285714284
JPN,USA,63,138,149,138.2952380952381
ESP,FRA,67,138,139,138.0
ESP,USA,63,130,160,131.56470588235294
EGY,JPN,63,130,131,129.65714285714287
JPN,UKR,62,130,127,127.85714285714286
COG,TZA,43,266,97,126.74945963393337
KOR,USA,50,113,163,126.30653594771242
ISR,LBY,45,154,127,125.82713397713401
COG,LBR,45,153,113,124.20361033302213
IRN,SAU,38,185,111,122.20480859010273
AFG,KAZ,33,290,103,121.72551749688775
DEU,UKR,44,110,180,118.75529470529472
FRA,IRQ,41,114,312,118.28600303805786
AUS,IDN,54,115,127,116.81318681318685
BDI,ZAF,38,187,98,115.65920070267896
SDN,UGA,43,146,111,114.83253968253972
CAF,SOM,45,139,110,114.59206349206356
EGY,LBN,47,109,153,114.05974025974031
JOR,LBN,45,103,140,113.80367965367968
COG,SOM,46,130,119,113.13593073593078
SOM,UGA,32,228,90,112.66829532123653
KWT,USA,33,131,169,112.1610028860029
DEU,PRT,53,115,111,111.81666666666666
JPN,NOR,53,113,108,109.65714285714286
IDN,JPN,52,110,108,108.86153846153847
FRA,MLI,37,92,184,107.14452214452216
ISR,SAU,40,152,97,106.98954617420091
JPN,PRT,52,106,108,106.46666666666667
MLI,SOM,41,135,99,106.43939393939397
ARG,CAN,50,107,106,106.22857142857143
COG,FRA,39,195,90,105.95543530543533
JPN,ZAF,51,103,112,105.5809523809524
GEO,RUS,35,164,85,105.44424464424468
AUS,CAN,52,105,106,105.4
EGY,IRQ,45,99,131,104.47034632034637
FRA,ISR,41,94,150,103.71844495373908
AUS,UKR,44,95,129,103.64178044178044
FRA,UKR,42,93,153,103.20976800976801
FRA,JPN,50,102,105,102.86666666666666
JPN,MYS,49,103,103,102.05714285714286
IND,JPN,49,101,104,101.65714285714286
ESP,JPN,50,101,102,101.4
CAN,NOR,49,102,101,101.15
CAF,SSD,37,124,101,99.44325396825398
AUS,PRT,48,98,102,99.29523809523809
HRV,ITA,46,106,97,98.76190476190476
NLD,UKR,36,80,190,98.07713088425163
EGY,ZAF,47,95,102,97.12380952380954
ESP,ITA,46,97,98,97.04444444444445
BEL,DEU,44,97,99,96.96666666666668
NZL,PRT,47,95,101,96.93333333333334
JPN,TUR,47,99,96,96.85714285714286
FRA,PRT,47,96,96,95.8
BEL,ITA,47,97,95,95.8
CIV,LBR,33,98,124,95.78253968253969
SOM,SSD,34,100,97,95.6199078699079
LBN,TUR,40,106,98,95.60714285714288
BIH,DEU,38,109,89,94.97777777777777
GEO,UKR,35,81,140,94.8212842712843
NOR,PRT,45,93,97,94.13333333333333
EGY,SDN,40,83,155,93.96825396825399
AUS,USA,46,95,93,93.66666666666667
JPN,PAK,45,95,92,92.85714285714286
EGY,PAK,45,94,92,92.80000000000001
CAN,NZL,44,94,92,92.46666666666667
FRA,LBN,40,85,107,91.98095238095239
SOM,YEM,28,99,110,91.92439242044506
QAT,SAU,35,97,90,91.75440115440117
FRA,TUR,39,99,96,91.35286935286938
FRA,LUX,45,91,92,91.2
CAN,ESP,44,92,91,91.15
DEU,RUS,40,98,88,91.04523809523809
NLD,USA,39,90,95,90.40833333333335
CAN,NLD,44,92,89,90.15
JOR,PSE,33,76,125,89.64206349206351
EGY,MYS,43,90,90,89.26666666666667
AUS,LUX,44,90,89,89.19999999999999
CAN,TUR,44,89,89,89.0
PRT,USA,43,89,90,88.94999999999999
MYS,UKR,37,82,111,88.89047619047619
IDN,PRT,37,114,84,88.88086080586082
SDN,USA,36,129,96,88.85288600288601
SAU,TUR,36,86,99,88.80281385281387
LUX,USA,44,89,88,88.4
JOR,TUR,38,89,93,88.29206349206349
ESH,MAR,24,138,71,88.24981750275867
PAK,TUR,41,92,87,88.01904761904763
CAN,USA,42,88,126,87.88888888888889
ITA,JPN,43,89,87,87.6
CAN,MYS,42,88,88,87.46666666666667
ITA,NLD,41,90,86,87.44444444444444
HRV,SRB,35,111,85,86.77460317460317
IRQ,SAU,32,129,86,86.30336983278161
BEL,FRA,42,86,88,86.05714285714286
KWT,SAU,37,96,85,85.99682539682541
CAF,FRA,32,140,75,85.84666444666443
LBY,MLI,32,130,102,85.81927546138073
COG,USA,32,187,69,85.79626984126986
BEL,CAN,42,85,87,85.75
DEU,ESP,41,87,85,85.75
DEU,NLD,40,90,83,85.61666666666666
LBY,SDN,29,133,120,85.22018537018539
IDN,NZL,41,93,82,84.53333333333333
BRA,JPN,41,83,86,83.85714285714286
AUS,NOR,41,84,83,83.4
DEU,HRV,37,82,90,83.32380952380953
IND,ZAF,40,81,89,83.31428571428572
DEU,SWE,38,86,82,82.97857142857143
BEL,NLD,39,83,83,82.82857142857142
JPN,SWE,41,83,83,82.8
CAF,RWA,29,103,101,82.58023496970867
SOM,USA,31,137,80,82.57268829493894
IRN,PSE,30,111,81,82.11825396825398
CAN,ITA,40,80,85,82.0
DEU,TUR,38,84,82,81.46666666666667
ISR,KWT,31,96,81,80.77602397602399
FIN,NOR,39,81,80,80.19999999999999
ITA,SWE,39,81,80,80.19999999999999
IRQ,JOR,32,227,74,80.02993197278911
CAF,CMR,24,132,73,79.91426906426906
ISR,QAT,31,115,77,79.88217528422132
DEU,NOR,38,86,77,79.81666666666666
FRA,SWE,38,86,78,79.8
ESP,UKR,39,81,79,79.8
MYS,PAK,39,81,79,79.8
CAN,UKR,39,81,79,79.66666666666666
IRQ,UKR,33,77,90,79.06666666666668
NOR,NZL,39,79,79,79.0
COG,ZWE,26,219,62,78.66365895313264
CAN,DEU,36,77,83,78.6
BIH,ITA,32,97,71,78.4547619047619
ITA,UKR,37,77,82,78.40714285714286
BDI,SOM,26,65,134,78.4070091673033
EGY,TUN,36,78,78,77.4
ITA,PRT,38,79,76,77.2
EGY,IND,38,79,76,77.2
IRN,TUR,30,116,77,77.05583691670648
BEL,JPN,38,76,79,76.85714285714286
AUS,FRA,38,76,78,76.8
COG,NGA,23,106,69,76.70531135531137
FRA,HRV,37,76,79,76.66666666666666
AFG,IRN,23,228,114,76.1684817108968
ISR,TUN,33,112,69,76.07272727272726
BRA,CAN,37,76,77,76.06666666666666
CAN,EGY,37,76,77,76.06666666666666
AUS,TLS,24,53,193,75.93335240028789
QAT,TUR,30,78,80,75.7877344877345
MYS,TUR,37,76,75,75.4
ESP,NZL,36,75,76,75.4
DZA,EGY,36,76,75,75.2
HRV,MNE,33,89,74,74.42857142857142
SWE,USA,35,73,81,74.33939393939394
CAN,SWE,36,76,73,74.15
RWA,ZAF,27,110,65,73.96614247821145
BEL,USA,35,72,81,73.91428571428571
AGO,GIN,19,97,100,73.79617049617049
MYS,NZL,34,77,72,73.45714285714286
BEL,HRV,36,73,74,73.42857142857143
ESP,NLD,34,74,73,73.4
NLD,NOR,36,73,74,73.4
BEL,ESP,35,74,73,73.4
ISR,JPN,36,74,73,73.19999999999999
IRL,NOR,35,74,72,72.80000000000001
CAN,PAK,35,72,77,72.6
ISR,MYS,33,96,66,72.50275689223056
GRC,JPN,35,72,73,72.4
CIV,SLE,25,65,120,72.08571428571427
COG,NAM,20,181,52,72.06572218021336
HRV,USA,34,83,70,71.96190476190476
NLD,SWE,35,73,71,71.66666666666667
DZA,TUN,34,72,73,71.66666666666666
ESP,TUR,34,73,71,71.66666666666666
FRA,NLD,34,73,72,71.61666666666666
COL,USA,18,79,112,71.47514941199152
NOR,UKR,35,71,72,71.4
FRA,LTU,35,72,71,71.4
EGY,TUR,34,72,71,71.22857142857143
BEL,NOR,35,71,71,71.0
AUT,NOR,34,71,71,71.0
ESP,NOR,34,71,71,71.0
ZAF,ZWE,26,67,98,70.91929824561403
MYS,PSE,27,55,108,70.90158730158728
ITA,NOR,35,70,71,70.4
SWE,YEM,21,57,107,70.31905375326428
AUS,MYS,32,68,75,70.28571428571428
IND,MYS,34,68,73,70.0
DEU,JPN,33,74,68,70.0
LTU,USA,35,70,70,70.0
GRC,NOR,34,70,70,70.0
SSD,YEM,23,58,97,69.88999333999334
ESP,PRT,34,70,70,69.8
ITA,TUR,33,73,68,69.45714285714286
DEU,ISR,25,59,114,69.40528214475583
CAN,FRA,34,69,70,69.4
SLE,SOM,26,85,85,69.30658307210031
FRA,LBY,25,76,86,69.26002886002888
BEL,PRT,33,73,68,69.11111111111111
BEL,FIN,33,69,69,69.0
ESP,GRC,33,69,69,69.0
AFG,COG,28,77,70,68.91428571428571
AFG,SLE,25,73,77,68.9128205128205
SDN,ZAF,29,94,64,68.40877684407096
AUT,JPN,33,68,69,68.4
DNK,GRC,33,69,68,68.4
CAN,ISR,33,70,67,68.15
DEU,FIN,32,70,67,68.15
NOR,TUR,33,68,68,68.0
AGO,ZAF,24,140,58,67.72380952380952
UGA,ZWE,23,83,79,67.67721657083887
NOR,SVN,33,67,68,67.4
EGY,IDN,33,67,68,67.4
DNK,ESP,32,68,67,67.4
IRQ,QAT,28,68,84,67.28333333333333
CAF,LBR,27,80,62,67.24444444444443
AUT,CAN,32,66,69,67.15
RWA,SLE,25,84,68,67.11810776942355
KWT,TUR,27,83,64,67.02914862914862
COG,ZMB,21,139,53,66.88179271708684
CAN,ZAF,32,67,69,66.7238095238095
GIN,GNB,20,180,43,66.55712474659843
EGY,YEM,30,65,72,66.52380952380952
DNK,ROU,32,67,66,66.4
CHN,USA,29,62,84,66.38358395989974
USA,YEM,26,94,68,66.3621212121212
EGY,UKR,32,67,66,66.19999999999999
BFA,MLI,22,55,107,66.12554112554112
IRQ,SDN,28,70,67,66.11071428571428
MAR,TUR,31,66,66,65.65714285714286
DZA,MAR,30,64,68,65.46666666666667
DEU,SVN,32,68,64,65.46666666666667
DNK,NLD,31,66,65,65.4
AUS,EGY,32,65,66,65.4
FRA,NGA,31,68,64,65.29523809523809
BEL,DNK,31,65,65,65.0
DNK,JPN,32,65,65,65.0
PRT,SWE,32,65,65,65.0
AUS,NLD,31,65,66,64.66666666666666
JPN,SVN,31,67,64,64.65714285714284
DZA,MYS,31,66,64,64.6
ARG,HTI,23,51,129,64.57875457875457
DEU,DNK,30,66,64,64.55
AUT,DEU,30,63,67,64.55
LTU,LUX,32,64,65,64.4
FRA,KOR,32,65,64,64.4
KOR,LUX,32,64,65,64.4
PSE,SAU,25,91,55,64.36825396825395
JOR,USA,28,61,94,64.3012987012987
EGY,JOR,27,68,66,64.2
CAN,PRT,31,65,64,64.15
MYS,TUN,31,64,65,63.99999999999999
MKD,SRB,22,82,68,63.88463203463203
IRQ,MYS,29,70,61,63.81904761904761
BEL,IRL,30,63,65,63.8
BIH,UKR,27,75,66,63.758730158730145
BEL,SWE,31,63,65,63.666666666666664
FIN,PRT,30,62,66,63.49523809523809
AUT,FIN,30,63,64,63.4
CAN,GRC,31,63,64,63.4
AUS,BEL,31,63,64,63.4
AUS,ZAF,31,62,66,63.25714285714285
EGY,MAR,30,62,65,63.2
ISR,ZAF,26,100,58,63.041596085074346
ESP,LTU,31,63,63,63.0
EGY,NZL,30,63,63,63.0
CAN,MAR,31,62,64,62.8
ARE,SAU,26,59,73,62.71111111111111
CUB,EGY,30,60,67,62.66666666666667
FIN,SWE,30,62,64,62.666666666666664
GIN,MLI,22,76,79,62.483095662507424
NOR,SWE,30,62,64,62.46666666666667
EGY,ETH,18,57,78,62.43095238095237
ARG,JPN,31,63,62,62.4
AUS,KOR,31,63,62,62.4
DEU,IRL,29,63,62,62.15
NZL,UKR,30,62,62,62.0
CAN,IND,30,64,61,61.86666666666666
AUT,ITA,30,62,62,61.8
CAN,HTI,21,52,110,61.74131652661064
CAN,IRL,29,62,62,61.55
CAN,HRV,30,60,64,61.46666666666667
DEU,LUX,29,64,60,61.416666666666664
DNK,NOR,30,62,61,61.4
PSE,TUN,24,85,50,61.333333333333314
JPN,MAR,30,60,63,61.2
ITA,SVN,30,62,61,61.199999999999996
LBY,PSE,24,72,70,61.128487886382615
BGR,NOR,30,61,61,61.0
LBR,USA,23,110,50,60.80531400966183
BRA,ZAF,29,59,65,60.723809523809514
AGO,BDI,23,62,64,60.69206349206348
NLD,POL,30,62,60,60.666666666666664
IRQ,RUS,25,111,57,60.635428142548875
MAR,TUN,29,62,60,60.6
IRQ,JPN,28,71,56,60.50158730158729
HRV,NOR,30,61,60,60.4
BGR,PRT,29,60,61,60.4
HRV,MKD,21,92,53,60.38068598068598
AFG,JPN,22,118,48,60.231135531135536
AUS,IND,29,60,61,60.22857142857143
BRA,PRT,29,60,61,60.199999999999996
CAN,DNK,29,61,60,60.15
RWA,SRB,23,65,65,60.130952380952365
FRA,RWA,27,59,71,60.041758241758245
AUT,GRC,28,60,60,60.0
BEL,GRC,29,60,60,60.0
DEU,ROU,29,60,60,60.0
AUT,ESP,28,60,60,60.0
SVN,SWE,30,60,60,60.0
MYS,ZAF,28,59,64,59.92380952380952
IND,UKR,29,59,61,59.8
GRC,ITA,29,60,60,59.8
NZL,ZAF,29,59,62,59.65714285714285
DEU,SVK,29,62,58,59.6
PRT,ZAF,29,62,58,59.46666666666666
GRC,SVN,29,59,60,59.4
BIH,TUR,24,92,51,59.34285714285715
RWA,TZA,25,69,56,59.24935064935064
CAF,SLE,23,74,58,59.11507936507936
QAT,USA,22,65,119,59.105555555555554
DNK,USA,29,58,61,59.06666666666666
AFG,TUR,22,147,46,59.029059829059825
CAN,CHL,29,59,59,59.0
TZA,UGA,25,60,63,58.96363636363636
EGY,KWT,26,54,77,58.93333333333333
CUB,MYS,29,58,60,58.8
HRV,SVN,29,59,59,58.8
CHL,ESP,28,64,57,58.77777777777778
IDN,MYS,27,58,63,58.74047619047618
TUR,UKR,28,61,58,58.733333333333334
DNK,FRA,29,58,59,58.4
ESP,LUX,28,59,58,58.4
AUT,IRL,27,58,59,58.4
DEU,GRC,28,59,58,58.4
BEL,SVN,29,58,59,58.4
ESP,HRV,29,58,59,58.4
AUT,PRT,28,58,59,58.4
ESP,ROU,28,58,59,58.4
CAN,SVN,29,58,59,58.4
ARG,BRA,29,58,59,58.4
DJI,ETH,19,75,61,58.32712842712843
BDI,SDN,22,60,65,58.24523809523808
AGO,RWA,20,56,85,58.20256965256964
HTI,USA,20,108,82,58.1763220439691
ESP,ISR,27,55,69,58.13333333333333
CZE,ITA,29,58,58,58.0
CZE,DEU,29,58,58,58.0
PRT,SVN,28,58,58,57.8
DZA,PAK,28,59,57,57.8
FIN,IRL,27,57,58,57.4
AUT,DNK,27,57,58,57.4
FIN,ITA,28,58,57,57.4
AUT,SVN,28,57,58,57.4
ESP,SWE,28,58,57,57.4
DNK,ITA,28,58,57,57.4
DNK,FIN,27,58,57,57.4
BRA,NZL,28,57,58,57.4
DZA,IND,28,59,56,57.199999999999996
UGA,ZAF,20,75,53,57.090476190476195
HRV,NLD,28,59,56,57.06666666666666
FIN,NLD,27,57,57,57.0
AUT,TUR,26,57,57,57.0
AUT,BEL,27,57,57,57.0
AUS,TUR,28,57,57,57.0
IRL,PRT,27,57,57,56.82857142857143
DEU,POL,27,56,58,56.82857142857143
CRI,JPN,28,57,57,56.8
FIN,JPN,28,57,57,56.8
IRQ,ZAF,24,92,53,56.446560846560836
GRC,NLD,27,57,56,56.4
CZE,EST,28,56,57,56.4
ESP,IRL,26,56,57,56.4
CHE,JPN,28,56,57,56.4
BEL,ROU,27,56,57,56.4
CZE,SVN,28,56,57,56.4
DZA,ZAF,26,54,61,56.323809523809516
FRA,NZL,26,59,55,56.26666666666666
IND,NZL,27,57,56,56.22857142857143
RWA,USA,26,64,53,56.168253968253964
SDN,ZWE,19,61,66,56.06022408963585
AUS,ITA,28,56,56,56.0
POL,SWE,28,56,56,56.0
CZE,NOR,28,56,56,56.0
NLD,SVN,28,56,56,56.0
GEO,USA,15,94,55,55.884998334998336
DZA,JPN,27,57,55,55.8
BEL,ISR,26,54,60,55.8
IDN,ZAF,27,55,58,55.65714285714285
ISR,MAR,26,61,54,55.511111111111106
CAN,CHE,27,56,56,55.46666666666667
BGR,DEU,27,54,59,55.4
AUS,BRA,27,56,55,55.4
LUX,NOR,27,55,56,55.4
BGR,SVN,27,55,56,55.4
DNK,PRT,27,56,55,55.4
TZA,ZAF,26,59,53,55.29523809523808
JPN,NLD,27,58,54,55.25714285714286
PAK,PSE,21,42,86,55.25396825396823
CUB,DZA,27,54,57,55.2
ISR,PAK,26,59,54,55.12380952380951
NZL,USA,26,55,56,55.06666666666666
CAN,IDN,27,54,57,55.06666666666666
IRL,JPN,26,55,57,55.05714285714286
IDN,ISR,22,53,78,55.023154623154625
AUS,ESP,27,55,55,55.0
EST,SVN,27,55,55,55.0
BEL,BGR,27,55,55,55.0
EGY,NOR,27,55,55,55.0
AUT,NLD,26,55,55,55.0
ALB,ITA,22,82,48,54.82242202242202
DEU,GEO,21,49,70,54.673809523809524
BGR,JPN,26,53,58,54.65714285714286
ESP,SVN,27,54,55,54.4
BEL,EST,27,54,55,54.4
NLD,ROU,26,54,55,54.4
FIN,NZL,27,55,54,54.4
BGR,ESP,27,55,54,54.4
AUS,DEU,27,55,54,54.4
ITA,LUX,27,54,55,54.4
GRC,ROU,26,54,55,54.4
BEL,NZL,27,55,54,54.4
AUS,MAR,27,54,55,54.4
CHL,JPN,27,54,55,54.4
AFG,IND,20,113,51,54.39374416433241
MAR,PAK,26,56,53,54.2
COG,SSD,19,69,55,54.094572094572094
NOR,PAK,26,54,54,54.0
NOR,SVK,27,54,54,54.0
BGR,ITA,27,54,54,54.0
BEL,CZE,27,54,54,54.0
BEL,SVK,27,54,54,54.0
GRC,TUR,25,54,54,54.0
ESP,MYS,26,54,54,54.0
BGR,SWE,27,54,54,54.0
CZE,SVK,27,54,54,54.0
BIH,FRA,24,62,50,53.99047619047619
AFG,SOM,19,49,84,53.96190476190477
NGA,USA,25,53,56,53.91111111111111
IRL,ITA,26,55,53,53.8
RWA,SOM,21,65,71,53.61269841269841
PAK,TUN,26,53,55,53.599999999999994
KWT,PSE,20,44,78,53.52063492063492
PAK,ZAF,26,52,56,53.46666666666666
FRA,MAR,26,54,53,53.42857142857143
BRA,MYS,26,53,54,53.4
DNK,IRL,25,54,53,53.4
BRA,IDN,25,51,60,53.282051282051285
CAF,LBY,22,57,54,53.24761904761904
BEL,UKR,24,50,84,53.19327731092437
IDN,NOR,26,55,52,53.06666666666666
AUS,PAK,26,53,53,53.0
ESP,FIN,25,53,53,53.0
AUS,FIN,26,53,53,53.0
IRL,NLD,25,53,53,53.0
NLD,PRT,26,53,53,53.0
AUT,BGR,26,53,53,53.0
TUR,YEM,22,58,55,52.969047619047615
HRV,JPN,26,54,52,52.8
CAN,POL,26,53,53,52.8
CAN,FIN,25,54,52,52.75
NLD,TUR,25,54,52,52.666666666666664
ISR,SYR,19,97,42,52.52674221203632
ALB,MKD,21,59,53,52.49285714285714
ROU,SWE,26,53,52,52.4
DNK,LUX,25,53,52,52.4
POL,SVN,26,52,53,52.4
EST,HRV,26,53,52,52.4
BIH,MKD,18,59,58,52.37922077922078
BRA,GIN,17,40,121,52.336090225563915
LBY,SOM,21,50,64,52.25887445887445
IND,TUR,25,53,52,52.199999999999996
CAF,NGA,19,82,43,52.13383838383838
CAF,UGA,20,75,46,52.121428571428574
DEU,MKD,22,54,53,52.08571428571429
DNK,SWE,25,52,53,52.06666666666666
CAN,LVA,26,52,52,52.0
ITA,SVK,26,52,52,52.0
LVA,NOR,26,52,52,52.0
CZE,HRV,26,52,52,52.0
EST,FIN,26,52,52,52.0
FIN,ROU,25,52,52,52.0
CAN,CZE,26,52,52,52.0
LVA,POL,26,52,52,52.0
CZE,NLD,26,52,52,52.0
CZE,POL,26,52,52,52.0
LUX,SVN,26,52,52,52.0
FIN,SVN,26,52,52,52.0
FIN,SVK,26,52,52,52.0
DEU,NZL,26,52,52,52.0
CZE,SWE,26,52,52,52.0
CZE,FIN,26,52,52,52.0
TUN,TUR,25,51,56,51.91111111111111
BEL,TUR,24,51,53,51.82857142857143
ARG,MYS,25,51,53,51.8
ITA,ROU,25,51,53,51.8
EGY,USA,20,52,75,51.66809523809524
ITA,POL,25,51,53,51.666666666666664
NOR,USA,25,51,56,51.6
ISR,NZL,21,84,43,51.532586367880484
EST,LVA,25,52,51,51.4
MAR,USA,24,49,68,51.28
PSE,TUR,20,79,40,51.231746031746034
DZA,PSE,19,39,79,51.08015873015872
AUT,SWE,25,51,51,51.0
ROU,SVN,25,51,51,51.0
IRL,ROU,24,51,51,51.0
CHE,NZL,25,51,51,51.0
IRN,LBY,18,64,67,50.96005889535301
IND,NOR,25,51,51,50.8
CAN,ROU,25,51,51,50.8
SAU,USA,20,56,62,50.73856578204404
FRA,SOM,21,45,90,50.65036039229586
ITA,RUS,23,55,48,50.62857142857142
ZAF,ZMB,23,55,50,50.6
AFG,DEU,19,127,38,50.54334554334554
IND,IRQ,23,50,57,50.44761904761904
CUB,PSE,19,38,84,50.42539682539682
COD,RWA,18,46,70,50.412210012210004
EST,POL,25,51,50,50.4
EST,NOR,25,51,50,50.4
LVA,SVN,25,50,51,50.4
AUT,ROU,24,50,51,50.4
FRA,NOR,25,51,50,50.4
BGR,CAN,25,50,51,50.4
DNK,SVN,25,51,50,50.4
BGR,ROU,25,50,51,50.4
AUT,LUX,24,51,50,50.4
HRV,SWE,25,51,50,50.4
EST,ITA,25,51,50,50.4
CHE,SWE,23,52,50,50.378571428571426
CAF,YEM,16,56,51,50.3595238095238
MAR,ZAF,24,49,53,50.25714285714285
AUS,IRL,24,49,52,50.199999999999996
IDN,MAR,24,52,49,50.06666666666666
LBR,MLI,19,68,47,50.06363636363636
HUN,NOR,25,50,50,50.0
AUT,HRV,25,50,50,50.0
LUX,NLD,24,50,50,50.0
AUT,CZE,25,50,50,50.0
EST,NLD,25,50,50,50.0
EST,SWE,25,50,50,50.0
BGR,POL,25,50,50,50.0
CZE,LVA,25,50,50,50.0
NZL,SWE,25,50,50,50.0
BGR,HRV,25,50,50,50.0
BEL,LUX,24,50,50,50.0
DEU,EST,25,50,50,50.0
FIN,GRC,24,50,50,50.0
NOR,POL,25,50,50,50.0
BEL,POL,25,50,50,50.0
HRV,SVK,25,50,50,50.0
GRC,NZL,24,50,50,50.0
DNK,SVK,25,50,50,50.0
AUS,LTU,25,50,50,50.0
FIN,LUX,24,50,50,50.0
HRV,POL,25,50,50,50.0
MAR,MYS,24,52,49,49.99999999999999
FRA,JOR,23,49,51,49.82857142857143
ISR,NOR,24,51,49,49.8
ALB,GRC,22,57,47,49.778571428571425
SDN,YEM,23,47,62,49.752380952380946
BRA,EGY,24,49,51,49.66666666666667
ARG,AUS,24,52,48,49.46666666666666
GRC,PRT,24,49,50,49.4
GRC,IRL,23,49,50,49.4
MYS,NOR,24,50,49,49.4
CUB,TUN,24,48,51,49.199999999999996
CHL,USA,22,46,74,49.111111111111114
AUS,AUT,24,49,49,49.0
IRL,SVN,24,49,49,49.0
LBN,SAU,20,56,47,48.98492063492063
IRN,KWT,17,47,76,48.82539682539682
CUB,PAK,24,48,50,48.8
SVK,USA,24,48,50,48.66666666666667
CAN,LUX,23,50,48,48.55
ALB,TUR,21,55,47,48.445238095238096
CZE,IRL,24,48,49,48.4
LVA,ROU,24,48,49,48.4
CHE,NOR,24,49,48,48.4
FRA,SVK,24,49,48,48.4
POL,ROU,24,48,49,48.4
CZE,DNK,24,48,49,48.4
FRA,GRC,24,49,48,48.4
AUT,EST,24,48,49,48.4
HRV,TUR,24,49,48,48.4
HUN,ITA,24,48,49,48.4
CUB,IND,24,48,49,48.4
HRV,PRT,24,49,48,48.4
EST,SVK,24,49,48,48.4
HUN,SVN,24,48,49,48.4
USA,ZAF,23,53,46,48.323809523809516
PAK,USA,16,74,60,48.29696969696969
DZA,ISR,23,47,51,48.266666666666666
DZA,SDN,23,48,50,48.266666666666666
ARE,ISR,18,48,50,48.26386554621848
ARG,USA,22,45,79,48.16470588235294
KWT,MYS,23,51,47,48.133333333333326
DEU,HUN,23,53,46,48.06666666666666
FIN,HRV,24,48,48,48.0
BEL,LVA,24,48,48,48.0
ESP,POL,24,48,48,48.0
